PLU,Item Name,Qty,Total $,Net $,Sales %
,Corned Beef and Fries,10,99.9,99.9,0.33%
,,,,,
,,,,,
Report Group: LunchMods,,89,$6.97,$6.97,0.02%
,Diet Pepsi,3,0,0,0.00%
,Mountain Dew,2,0,0,0.00%
,Ginger Ale,2,0,0,0.00%
,Water,3,0,0,0.00%
,Tossed Salad,1,0,0,0.00%
,Starry,4,0,0,0.00%
,Pepsi,31,0,0,0.00%
,Mild Peppers,3,0,0,0.00%
,Italian Sausage,4,0,0,0.00%
,Mushroom,5,0,0,0.00%
,Black Olives,2,1.99,1.99,0.01%
,Pineapple,1,0,0,0.00%
,BBQ Sauce,3,0,0,0.00%
,Red Onion,4,0,0,0.00%
,Steak,1,2.99,2.99,0.01%
,Bacon,4,1.99,1.99,0.01%
,Pepperoni,12,0,0,0.00%
,Green Peppers,1,0,0,0.00%
,Ham,3,0,0,0.00%
,,,,,
,,,,,
Report Group: None,,208,$224.56,$224.56,0.74%
,Round,9,0,0,0.00%
,Square,8,0,0,0.00%
,CC SURCHARGE,191,224.56,224.56,0.74%
,,,,,
,,,,,
Report Group: OpenItem,,15,$232.98,$232.98,0.77%
,Open Item,15,232.98,232.98,0.77%
,,,,,
,,,,,
Report Group: Pasta,,9,$134.91,$134.91,0.44%
,Papas Lasagna,9,134.91,134.91,0.44%
,,,,,
,,,,,
Report Group: PastaMods,,18,$0.00,$0.00,0%
,Bread,9,0,0,0.00%
,Tossed Salad,9,0,0,0.00%
,,,,,
,,,,,
Report Group: Pizza,,1036,"$14,416.04","$14,412.09",47.37%
,BLT Pizza,3,49.97,49.97,0.16%
,The Works Pizza,41,861.19,861.19,2.83%
,A1 Philly Steak Pizza,3,61.97,61.97,0.20%
,Chicken Bacon Ranch Pizza,16,318.84,318.84,1.05%
,BBQ Chicken Pizza,48,882.52,882.52,2.90%
,Hawaiian Pizza,24,435.96,435.96,1.43%
,Vegetarian Pizza,32,574.28,574.28,1.89%
,Meat Lovers Pizza,51,960.09,960.09,3.16%
,Chick Mediterranean Pizza,31,631.69,631.69,2.08%
,Build Your Own Pizza,699,7956.51,7952.56,26.14%
,Supreme Pizza,56,1072.14,1072.14,3.52%
,Buffalo Chicken Pizza,18,310.02,310.02,1.02%
,BBQ Barbarian Pizza,14,300.86,300.86,0.99%
,,,,,
,,,,,
Report Group: PizzaMods,,1940,"$4,249.04","$3,248.37",10.68%
,Feta Cheese,3,9.97,9.97,0.03%
,Cheese Only,52,0,0,0.00%
,Mild Peppers,52,133.89,85.62,0.28%
,Garlic Crust ,36,37.14,37.14,0.12%
,Crispy Chicken,7,28.13,25.14,0.08%
,Hot Honey,3,8.97,4.98,0.02%
,Parmesan Only,6,5.94,4.95,0.02%
,Italian Sausage,110,301.55,214.58,0.71%
,Oregano,6,16.54,11.55,0.04%
,Mushroom,100,276.32,198.18,0.65%
,Jalapeno,28,69.24,48.91,0.16%
,Tomato,10,25.9,16.93,0.06%
,Anchovies,2,6.98,6.98,0.02%
,Mozzarella Cheese,26,66.76,57.79,0.19%
,Black Olives,54,146.98,107.15,0.35%
,Pineapple,64,153.12,102.34,0.34%
,Green Olives,9,21.91,18.92,0.06%
,Cajun Crust,40,40,40,0.13%
,Buffalo Sauce,0,0,0,0.00%
,Garlic Butter Parmesan,246,243.56,232.67,0.76%
,Grilled Chicken,32,113.58,106.61,0.35%
,Butter Parm All Over,41,83.99,79.03,0.26%
,Pizza Sauce,21,0,0,0.00%
,Cook Light,4,0,0,0.00%
,WELL DONE,74,0,0,0.00%
,BBQ Sauce,7,18.93,18.93,0.06%
,Hamburger,52,140.98,114.73,0.38%
,Ranch,4,10.96,10.96,0.04%
,Butter only,13,12.87,12.87,0.04%
,Red Onion,74,195.86,150.1,0.49%
,Lettuce,2,5.98,5,0.02%
,Bacon,145,396.37,292.99,0.96%
,Pepperoni,482,1327.81,978.07,3.22%
,Green Peppers,81,208.32,147.59,0.49%
,Ham,54,140.49,107.69,0.35%
,,,,,
,,,,,
Report Group: SaladMods,,181,$24.31,$24.31,0.08%
,Bread,78,0,0,0.00%
,No Bread,2,0,0,0.00%
,Feta Cheese,1,0,0,0.00%
,Greek Dressing,27,4.92,4.92,0.02%
,Salami,1,1.49,1.49,0.00%
,Honey French,3,0,0,0.00%
,Raspberry Vinaigrette,6,1.49,1.49,0.00%
,Beets,1,1,1,0.00%
,Honey Mustard,2,0,0,0.00%
,No Dressing,1,0,0,0.00%
,Black Olives,3,3.98,3.98,0.01%
,Italian Dressing,20,0,0,0.00%
,Thousand Island,2,0,0,0.00%
,Shredded Cheese,0,0,0,0.00%
,Ranch,29,7.45,7.45,0.02%
,Red Onion,0,0,0,0.00%
,Egg,2,0.5,0.5,0.00%
,Green Peppers,1,1.99,1.99,0.01%
,Bleu Cheese,2,1.49,1.49,0.00%
,,,,,
,,,,,
Report Group: Salads,,80,$976.80,$976.80,3.21%
,Antipasto Salad,22,263.78,263.78,0.87%
,Chef Salad,13,155.87,155.87,0.51%
,Grilled Chicken Salad,13,155.87,155.87,0.51%
,Tossed Salad,7,76.93,76.93,0.25%
,Greek Chicken Salad,7,104.93,104.93,0.34%
,Greek Salad,18,219.42,219.42,0.72%
,,,,,
,,,,,
Report Group: Sandwiches,,19,$195.81,$195.81,0.64%
,Giant Corned Beef,1,15.99,15.99,0.05%
,Corned Beef Sandwich,10,99.9,99.9,0.33%
,Spicy Chicken Sandwich,8,79.92,79.92,0.26%
,,,,,
,,,,,
Report Group: SandwichMods,,20,$23.89,$20.92,0.07%
,Fries,10,19.9,16.93,0.06%
,Cajun Fries,1,3.99,3.99,0.01%
,No Fries,9,0,0,0.00%
,,,,,
,,,,,
Report Group: Sauces,,130,$272.50,$272.50,0.9%
,Greek Dressing,1,0,0,0.00%
,Ranch,2,0,0,0.00%
,Bleu Cheese,2,0,0,0.00%
,Pizza Sauce,7,10.88,10.88,0.04%
,Garlic Cream Cheese,3,6.57,6.57,0.02%
,Original BBQ,11,16.39,16.39,0.05%
,Dressings,5,7.45,7.45,0.02%
,Hot and Spicy,3,4.47,4.47,0.01%
,Tartar Sauce,2,2.98,2.98,0.01%
,Ranch ,74,116.56,116.56,0.38%
,Cocktail Sauce,1,1.49,1.49,0.00%
,Bottle of Ranch,17,101.83,101.83,0.33%
,Garlic Parmesan,2,3.88,3.88,0.01%
,,,,,
,,,,,
Report Group: Seafood,,29,$506.71,$506.71,1.67%
,Alaskan Cod Dinner,17,271.83,271.83,0.89%
,20pc Jumbo Shrimp,4,114.96,114.96,0.38%
,10pc Jumbo Shrimp,8,119.92,119.92,0.39%
,,,,,
,,,,,
Report Group: SeafoodMods,,88,$14.34,$14.34,0.05%
,BBQ Fries,2,3.98,3.98,0.01%
,Fries,23,0,0,0.00%
,No Fries,4,0,0,0.00%
,Bread,27,0,0,0.00%
,No Bread,2,0,0,0.00%
,Add Cod,1,3.5,3.5,0.01%
,Cocktail Sauce,13,1.49,1.49,0.00%
,Tartar Sauce,15,1.49,1.49,0.00%
,No Dip Sauce,1,3.88,3.88,0.01%
,,,,,
,,,,,
Report Group: SubMods,,29,$19.90,$19.90,0.07%
,Fries,8,15.92,15.92,0.05%
,No Fries,11,0,0,0.00%
,Salami,1,1.99,1.99,0.01%
,Mild Peppers,1,0,0,0.00%
,Italian Sausage,2,0,0,0.00%
,Mushroom,1,0,0,0.00%
,Jalapeno,1,0,0,0.00%
,Tomato,1,1.99,1.99,0.01%
,Pineapple,1,0,0,0.00%
,Pepperoni,2,0,0,0.00%
,,,,,
,,,,,
Report Group: Subs,,20,$228.80,$228.80,0.75%
,Grilled Chicken Sub,1,11.99,11.99,0.04%
,Steak and Cheese Sub,3,35.97,35.97,0.12%
,Turkey Sub,3,32.97,32.97,0.11%
,Italian Sub,5,54.95,54.95,0.18%
,Pizza Sub,3,32.97,32.97,0.11%
,Turkey Club Sub,5,59.95,59.95,0.20%
,,,,,
,,,,,
Report Group: WingMods,,826,$211.11,$211.11,0.69%
,Fries,84,88.16,88.16,0.29%
,Extra Bread,2,1.98,1.98,0.01%
,Cajun Fries,5,19.95,19.95,0.07%
,No Fries,145,0,0,0.00%
,Bread,39,0,0,0.00%
,No Bread,2,0,0,0.00%
