plu,item_name,qty,gross_cents,net_cents,sales_pct,is_numeric_qty
nan,Chocolate Cake,20,11980,11980,0.39%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Lunch,,56,,,1.48%,True
nan,Spicy Chicken Sandwich,1,0,0,0.00%,True
nan,Corned Beef Sand,10,0,0,0.00%,True
nan,Tossed Salad Combo,1,999,999,0.03%,True
nan,Pizza Calzone Combo,16,15984,15984,0.53%,True
nan,Sm Round 2 Topping Pizza,17,16983,16983,0.56%,True
nan,Spicy Chicken and Fries,1,999,999,0.03%,True
nan,Corned Beef and Fries,10,9990,9990,0.33%,True
nan,,,,,,False
nan,,,,,,False
Report Group: LunchMods,,89,,,0.02%,True
nan,Diet Pepsi,3,0,0,0.00%,True
nan,Mountain Dew,2,0,0,0.00%,True
nan,Ginger Ale,2,0,0,0.00%,True
nan,Water,3,0,0,0.00%,True
nan,Tossed Salad,1,0,0,0.00%,True
nan,Starry,4,0,0,0.00%,True
nan,Pepsi,31,0,0,0.00%,True
nan,Mild Peppers,3,0,0,0.00%,True
nan,Italian Sausage,4,0,0,0.00%,True
nan,Mushroom,5,0,0,0.00%,True
nan,Black Olives,2,199,199,0.01%,True
nan,Pineapple,1,0,0,0.00%,True
nan,BBQ Sauce,3,0,0,0.00%,True
nan,Red Onion,4,0,0,0.00%,True
nan,Steak,1,299,299,0.01%,True
nan,Bacon,4,199,199,0.01%,True
nan,Pepperoni,12,0,0,0.00%,True
nan,Green Peppers,1,0,0,0.00%,True
nan,Ham,3,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: None,,208,,,0.74%,True
nan,Round,9,0,0,0.00%,True
nan,Square,8,0,0,0.00%,True
nan,CC SURCHARGE,191,22456,22456,0.74%,True
nan,,,,,,False
nan,,,,,,False
Report Group: OpenItem,,15,,,0.77%,True
nan,Open Item,15,23298,23298,0.77%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Pasta,,9,,,0.44%,True
nan,Papas Lasagna,9,13491,13491,0.44%,True
nan,,,,,,False
nan,,,,,,False
Report Group: PastaMods,,18,,,0%,True
nan,Bread,9,0,0,0.00%,True
nan,Tossed Salad,9,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Pizza,,1036,,,47.37%,True
nan,BLT Pizza,3,4997,4997,0.16%,True
nan,The Works Pizza,41,86119,86119,2.83%,True
nan,A1 Philly Steak Pizza,3,6197,6197,0.20%,True
nan,Chicken Bacon Ranch Pizza,16,31884,31884,1.05%,True
nan,BBQ Chicken Pizza,48,88252,88252,2.90%,True
nan,Hawaiian Pizza,24,43596,43596,1.43%,True
nan,Vegetarian Pizza,32,57428,57428,1.89%,True
nan,Meat Lovers Pizza,51,96009,96009,3.16%,True
nan,Chick Mediterranean Pizza,31,63169,63169,2.08%,True
nan,Build Your Own Pizza,699,795651,795256,26.14%,True
nan,Supreme Pizza,56,107214,107214,3.52%,True
nan,Buffalo Chicken Pizza,18,31002,31002,1.02%,True
nan,BBQ Barbarian Pizza,14,30086,30086,0.99%,True
nan,,,,,,False
nan,,,,,,False
Report Group: PizzaMods,,1940,,,10.68%,True
nan,Feta Cheese,3,997,997,0.03%,True
nan,Cheese Only,52,0,0,0.00%,True
nan,Mild Peppers,52,13389,8562,0.28%,True
nan,Garlic Crust,36,3714,3714,0.12%,True
nan,Crispy Chicken,7,2813,2514,0.08%,True
nan,Hot Honey,3,897,498,0.02%,True
nan,Parmesan Only,6,594,495,0.02%,True
nan,Italian Sausage,110,30155,21458,0.71%,True
nan,Oregano,6,1654,1155,0.04%,True
nan,Mushroom,100,27632,19818,0.65%,True
nan,Jalapeno,28,6924,4891,0.16%,True
nan,Tomato,10,2590,1693,0.06%,True
nan,Anchovies,2,698,698,0.02%,True
nan,Mozzarella Cheese,26,6676,5779,0.19%,True
nan,Black Olives,54,14698,10715,0.35%,True
nan,Pineapple,64,15312,10234,0.34%,True
nan,Green Olives,9,2191,1892,0.06%,True
nan,Cajun Crust,40,4000,4000,0.13%,True
nan,Buffalo Sauce,0,0,0,0.00%,True
nan,Garlic Butter Parmesan,246,24356,23267,0.76%,True
nan,Grilled Chicken,32,11358,10661,0.35%,True
nan,Butter Parm All Over,41,8399,7903,0.26%,True
nan,Pizza Sauce,21,0,0,0.00%,True
nan,Cook Light,4,0,0,0.00%,True
nan,WELL DONE,74,0,0,0.00%,True
nan,BBQ Sauce,7,1893,1893,0.06%,True
nan,Hamburger,52,14098,11473,0.38%,True
nan,Ranch,4,1096,1096,0.04%,True
nan,Butter only,13,1287,1287,0.04%,True
nan,Red Onion,74,19586,15010,0.49%,True
nan,Lettuce,2,598,500,0.02%,True
nan,Bacon,145,39637,29299,0.96%,True
nan,Pepperoni,482,132781,97807,3.22%,True
nan,Green Peppers,81,20832,14759,0.49%,True
nan,Ham,54,14049,10769,0.35%,True
nan,,,,,,False
nan,,,,,,False
Report Group: SaladMods,,181,,,0.08%,True
nan,Bread,78,0,0,0.00%,True
nan,No Bread,2,0,0,0.00%,True
nan,Feta Cheese,1,0,0,0.00%,True
nan,Greek Dressing,27,492,492,0.02%,True
nan,Salami,1,149,149,0.00%,True
nan,Honey French,3,0,0,0.00%,True
nan,Raspberry Vinaigrette,6,149,149,0.00%,True
nan,Beets,1,100,100,0.00%,True
nan,Honey Mustard,2,0,0,0.00%,True
nan,No Dressing,1,0,0,0.00%,True
nan,Black Olives,3,398,398,0.01%,True
nan,Italian Dressing,20,0,0,0.00%,True
nan,Thousand Island,2,0,0,0.00%,True
nan,Shredded Cheese,0,0,0,0.00%,True
nan,Ranch,29,745,745,0.02%,True
nan,Red Onion,0,0,0,0.00%,True
nan,Egg,2,50,50,0.00%,True
nan,Green Peppers,1,199,199,0.01%,True
nan,Bleu Cheese,2,149,149,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Salads,,80,,,3.21%,True
nan,Antipasto Salad,22,26378,26378,0.87%,True
